IDC ?,机柜 ?,宿主机 ?,SN ?,是外借,OS?,配置,型号,IP(外网)?,IP(内网)?,ant?,业务名称?,模块名称?,使用人?,,,,
北京市-大兴区-亦庄电信通,,10.142.141.11,10.142.128.102,Ansible master <SEE@le.com>,SCM,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.11,10.142.128.116,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.11,10.142.128.118,雷小锋 <Xflei@letv.com>,TV,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.11,10.142.128.109,张昭 <zhangzhao5@letv.com>,VR,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.11,10.142.128.110,修国明 <xiuguoming@letv.com>,相机,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.11,10.142.128.113,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.11,10.142.128.114,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.11,10.142.128.115,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.12,10.142.128.103,Ansible master <SEE@le.com>,SCM,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.12,10.142.128.104,Ansible master <SEE@le.com>,SCM,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.12,10.142.128.112,Emma Ren <renyan@le.com>,SCM,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.12,10.142.128.106,孙博 <sunbo@le.com>,SCM,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.12,10.142.128.107,Emma Ren <renyan@le.com>,SCM,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.12,10.142.128.108,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.12,10.142.128.111,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.12,10.142.128.117,陈永华 <chenyonghua@le.com>,VR,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.13,10.142.128.161,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.13,10.142.128.162,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.13,10.142.128.163,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.13,10.142.128.164,高丰1 <gaofeng1@le.com>,相机,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.13,10.142.128.165,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.13,10.142.128.166,张鹏7 <zhangpeng7@letv.com>,相机,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.13,10.142.128.167,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.13,10.142.128.168,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.21,10.142.128.169,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.21,10.142.128.170,潘洪 <panhong@letv.com>,多媒体,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.21,10.142.128.171,崔建勇 <cuijianyong@letv.com>,多媒体,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.21,10.142.128.172,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.21,10.142.128.173,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.21,10.142.128.174,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.21,10.142.128.175,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.21,10.142.128.176,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.22,10.142.128.119,张奎 <zhangkui@letv.com>,TV,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.22,10.142.128.122,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.22,10.142.128.124,杨亮 <yangliang@letv.com>,Mobile,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.22,10.142.128.126,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.22,10.142.128.128,田建恒 <tianjianheng@letv.com>,Mobile,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.22,10.142.128.129,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.22,10.142.128.130,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.22,10.142.128.132,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.23,10.142.128.120,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.23,10.142.128.121,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.23,10.142.128.123,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.23,10.142.128.125,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.23,10.142.128.127,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.23,10.142.128.131,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.23,10.142.128.133,,,,,,,,,,,,,,
北京市-大兴区-亦庄电信通,,10.142.141.23,10.142.128.134,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016/3/17 - 6x8,,,,,,,,,,,,,,,,,
IDC ?,机柜,宿主机 ?,SN ?,是外借,OS?,配置  ,型号,IP(外网)?,IP(内网)?,ant?,业务名称?,模块名称?,使用人?,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.18,10.142.128.184,蔡长水 <caichangshui@le.com>,Mobile,,,深圳,10.142.128.184,1,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.14,10.142.128.182,伍志刚 <wuzhigang@le.com>,多媒体,,,,10.142.128.182,2,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.17,10.142.128.181,刘晓莉 <liuxiaoli@le.com>,多媒体,,,,10.142.128.181,3,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
